1,JVM & Memory,Explain the different types of garbage collectors in Java and when to use each,G1GC (Garbage First): Best for applications with large heaps (>4GB) requiring low latency. Uses region-based collection.,"Choose based on heap size, latency requirements, and throughput needs"
,,,,
,,,Parallel GC: Default for server applications. Good throughput but higher pause times. Uses multiple threads for both young and old generation.,
,,,,
,,,CMS (Concurrent Mark Sweep): Low-latency collector for old generation. Deprecated in Java 14. Good for applications requiring short pause times.,
,,,,
,,,ZGC (Z Garbage Collector): Ultra-low latency collector supporting very large heaps (up to 16TB). Available from Java 11+.,
,,,,
,,,Shenandoah: Low-pause collector that performs collection work concurrently with application threads.,
2,Concurrency,"What is the difference between synchronized, volatile, and atomic variables?",synchronized: Provides mutual exclusion and memory visibility. Blocks other threads from accessing the synchronized block/method.,"Use volatile for flags, atomic for counters, synchronized for complex operations"
,,,,
,,,volatile: Ensures memory visibility across threads but doesn't provide atomicity for compound operations. Prevents instruction reordering.,
,,,,
,,,"Atomic variables: Thread-safe operations without locking using compare-and-swap (CAS). Examples: AtomicInteger, AtomicReference.",
,,,,
,,,Key differences:,
,,,"- synchronized: Heavyweight, provides both atomicity and visibility",
,,,"- volatile: Lightweight, provides only visibility",
,,,"- atomic: Lock-free, provides both atomicity and visibility for specific operations",
3,Design Patterns,Implement the Singleton pattern that is thread-safe and efficient,public class Singleton { private static volatile Singleton instance; private Singleton() {} public static Singleton getInstance() { if (instance == null) { synchronized (Singleton.class) { if (instance == null) { instance = new Singleton(); } } } return instance; } } // Alternative: Enum Singleton (recommended) public enum SingletonEnum { INSTANCE; public void doSomething() { // implementation } },Double-checked locking pattern with volatile keyword. Enum approach is simpler and thread-safe by default
4,Spring Framework,Explain the different types of dependency injection in Spring and their pros/cons,Constructor Injection:,Constructor injection is recommended as best practice
,,,@Component public class UserService { private final UserRepository repository; public UserService(UserRepository repository) { this.repository = repository; } },
,,,"Pros: Immutable dependencies, fail-fast, required dependencies",
,,,Cons: Can lead to constructor parameter bloat,
,,,,
,,,Setter Injection:,
,,,@Component public class UserService { @Autowired private UserRepository repository; public void setRepository(UserRepository repository) { this.repository = repository; } },
,,,"Pros: Optional dependencies, readable",
,,,"Cons: Mutable dependencies, can lead to incomplete objects",
,,,,
,,,Field Injection:,
,,,@Component public class UserService { @Autowired private UserRepository repository; },
,,,Pros: Concise,
,,,"Cons: Hard to test, reflection-based, tight coupling",
5,Concurrency,"Explain the CountDownLatch, CyclicBarrier, and Semaphore. When would you use each?",CountDownLatch: One-time synchronization primitive. Threads wait until a count reaches zero.,"Choose based on whether synchronization is one-time, cyclic, or resource-limiting"
,,,"CountDownLatch latch = new CountDownLatch(3); // Workers count down, main thread waits latch.await(); // blocks until count = 0 latch.countDown(); // decrements count",
,,,Use case: Wait for multiple tasks to complete before proceeding,
,,,,
,,,CyclicBarrier: Reusable synchronization point where threads wait for each other.,
,,,CyclicBarrier barrier = new CyclicBarrier(3); barrier.await(); // threads wait for each other,
,,,Use case: Parallel algorithms where threads need to synchronize at phases,
,,,,
,,,Semaphore: Controls access to a resource pool.,
,,,Semaphore semaphore = new Semaphore(2); semaphore.acquire(); // acquire permit semaphore.release(); // release permit,
,,,Use case: Limiting concurrent access to resources,
6,JVM Internals,Describe the Java memory model and how it affects multithreading,The Java Memory Model (JMM) defines how threads interact through memory:,Understanding JMM is crucial for writing correct concurrent code
,,,,
,,,"Main Memory: Shared among all threads, contains master copy of variables",
,,,,
,,,Thread Local Memory: Each thread has local cache of variables,
,,,,
,,,Happens-Before Relationship: Establishes ordering guarantees:,
,,,- Program order rule,
,,,- Monitor lock rule (synchronized),
,,,- Volatile variable rule,
,,,- Thread start/join rules,
,,,,
,,,Problems without proper synchronization:,
,,,- Visibility issues: Changes by one thread not visible to others,
,,,- Reordering: JVM/CPU can reorder instructions for optimization,
,,,,
,,,Solutions:,
,,,- synchronized keyword,
,,,- volatile variables,
,,,- java.util.concurrent utilities,
,,,- Final fields (immutable after construction),
7,Performance,What are the best practices for Java performance optimization?,JVM Tuning:,"Profile first, optimize based on actual bottlenecks, not assumptions"
,,,- Choose appropriate GC algorithm,
,,,"- Set heap size (-Xms, -Xmx)",
,,,- Tune GC parameters,
,,,- Use JVM profiling tools,
,,,,
,,,Code Optimization:,
,,,- Avoid premature optimization,
,,,- Use StringBuilder for string concatenation,
,,,- Minimize object creation in loops,
,,,- Use appropriate data structures (ArrayList vs LinkedList),
,,,- Cache expensive computations,
,,,,
,,,Memory Management:,
,,,"- Avoid memory leaks (listeners, caches)",
,,,- Use object pools for expensive objects,
,,,- Minimize autoboxing/unboxing,
,,,- Use primitive collections when appropriate,
,,,,
,,,Concurrency:,
,,,- Use thread pools instead of creating threads,
,,,- Minimize synchronization scope,
,,,- Use lock-free data structures,
,,,- Consider async programming,
8,Streams & Lambda,What are the differences between intermediate and terminal operations in Java Streams?,Intermediate Operations:,Intermediate operations are lazy and chainable; terminal operations trigger execution
,,,- Lazy evaluation (not executed until terminal operation),
,,,- Return a Stream,
,,,- Can be chained,
,,,"- Examples: filter(), map(), sorted(), distinct()",
,,,,
,,,Stream<String> stream = list.stream() .filter(s -> s.length() > 3) // intermediate .map(String::toUpperCase); // intermediate,
,,,,
,,,Terminal Operations:,
,,,- Trigger stream processing,
,,,- Return non-Stream result or void,
,,,- Only one per stream pipeline,
,,,"- Examples: collect(), forEach(), reduce(), findFirst()",
,,,,
,,,List<String> result = list.stream() .filter(s -> s.length() > 3) .collect(Collectors.toList()); // terminal,
,,,,
,,,Stream Characteristics:,
,,,- One-time use only,
,,,- Elements processed on-demand,
,,,- Can be parallel or sequential,
9,Exception Handling,Explain the difference between checked and unchecked exceptions. When should you use each?,Checked Exceptions:,"Checked for recoverable conditions, unchecked for programming errors"
,,,- Must be declared in method signature or caught,
,,,- Compile-time enforcement,
,,,- Represent recoverable conditions,
,,,"- Examples: IOException, SQLException",
,,,,
,,,public void readFile() throws IOException { // IOException must be handled or declared },
,,,,
,,,Unchecked Exceptions:,
,,,"- Runtime exceptions, no compile-time checking",
,,,- Usually represent programming errors,
,,,"- Examples: NullPointerException, IllegalArgumentException",
,,,,
,,,"public void divide(int a, int b) { if (b == 0) { throw new IllegalArgumentException(""Division by zero""); } return a / b; }",
,,,,
,,,Best Practices:,
,,,- Use checked exceptions for recoverable conditions,
,,,- Use unchecked exceptions for programming errors,
,,,- Don't catch Exception or Throwable,
,,,- Create custom exceptions when needed,
,,,- Document exceptions in Javadoc,
10,Collections,Explain the internal working of HashMap and how it handles collisions,HashMap Internal Structure:,Tree conversion in Java 8+ improves worst-case performance from O(n) to O(log n)
,,,- Array of buckets (default size 16),
,,,- Each bucket can hold linked list or tree (Java 8+),
,,,- Hash function: key.hashCode() % buckets.length,
,,,,
,,,Collision Handling:,
,,,1. Separate Chaining (pre-Java 8): Linked lists in buckets,
,,,"2. Tree Conversion (Java 8+): When bucket size > 8, convert to Red-Black tree",
,,,,
,,,"// Simplified put operation public V put(K key, V value) { int hash = hash(key); int index = hash & (capacity - 1); Node<K,V> node = table[index]; // Handle collisions and update/insert // Resize if load factor > 0.75 }",
,,,,
,,,Load Factor: 0.75 (resize when 75% full),
,,,Capacity: Always power of 2 for efficient modulo operation,
,,,,
,,,Performance:,
,,,- Average O(1) for get/put,
,,,- Worst case O(log n) with tree (O(n) with only lists),
11,Spring Boot,"What is the difference between @Component, @Service, @Repository, and @Controller?",All are specializations of @Component for dependency injection:,Use specific annotations for better code organization and Spring features
,,,,
,,,@Component: Generic stereotype for any Spring-managed component,
,,,@Component public class UtilityClass { // generic component },
,,,,
,,,"@Service: Business logic layer, contains business rules",
,,,@Service public class UserService { // business operations },
,,,,
,,,"@Repository: Data access layer, provides abstraction over data storage",
,,,@Repository public class UserRepository { // data access operations // Automatic exception translation },
,,,,
,,,"@Controller: Presentation layer, handles HTTP requests",
,,,@Controller public class UserController { // handles web requests },
,,,,
,,,Key Differences:,
,,,- @Repository provides automatic exception translation,
,,,- @Controller is used by Spring MVC for request mapping,
,,,"- @Service is semantic only, same as @Component",
,,,- All create singleton beans by default,
12,Microservices,What are the key considerations when designing microservices in Java?,Service Decomposition:,"Focus on loose coupling, high cohesion, and independent deployability"
,,,- Domain-driven design (DDD),
,,,- Business capability alignment,
,,,- Data ownership per service,
,,,- Avoid distributed monoliths,
,,,,
,,,Communication Patterns:,
,,,"- Synchronous: REST APIs, gRPC",
,,,"- Asynchronous: Message queues (RabbitMQ, Kafka)",
,,,- Event-driven architecture,
,,,,
,,,Data Management:,
,,,- Database per service,
,,,- Eventual consistency,
,,,- Saga pattern for distributed transactions,
,,,- CQRS (Command Query Responsibility Segregation),
,,,,
,,,Cross-cutting Concerns:,
,,,"- Service discovery (Eureka, Consul)",
,,,- Load balancing,
