id,number,category,question,answer,notes
SY0ej8jukU6o4YdkM9s2,1,Streams & Lambda,"What are the differences between intermediate and terminal operations in Java Streams?","**Intermediate vs Terminal Operations in Java Streams:**

**Intermediate Operations - Stream Transformers:**
• **Lazy Evaluation**: Not executed until a terminal operation is called
• **Return Type**: Always return a new Stream (enabling method chaining)
• **Chainable**: Multiple intermediate operations can be linked together
• **Processing**: Transform or filter stream elements without consuming the stream
• **Examples**: filter(), map(), sorted(), distinct(), limit(), skip(), peek()

```java
Stream<String> intermediateStream = list.stream()
    .filter(s -> s.length() > 3)        // intermediate - lazy
    .map(String::toUpperCase)           // intermediate - lazy  
    .sorted()                           // intermediate - lazy
    .distinct();                        // intermediate - lazy
// No execution yet - just building the pipeline
```

**Terminal Operations - Stream Consumers:**
• **Execution Trigger**: Immediately trigger processing of the entire stream pipeline
• **Return Type**: Return non-Stream results (collections, primitives, void, Optional)
• **Single Use**: Only one terminal operation allowed per stream pipeline
• **Stream Consumption**: Consume and close the stream after execution
• **Examples**: collect(), forEach(), reduce(), findFirst(), findAny(), count(), anyMatch()

```java
List<String> result = list.stream()
    .filter(s -> s.length() > 3)
    .map(String::toUpperCase)
    .collect(Collectors.toList());      // terminal - triggers execution
```

**Stream Pipeline Execution:**
1. **Pipeline Building**: Intermediate operations build a processing pipeline
2. **Lazy Evaluation**: Nothing executes until terminal operation is called
3. **Single Pass**: Elements flow through all operations in a single iteration
4. **Short-Circuiting**: Operations like findFirst() can terminate early

**Stream Characteristics:**
• **One-Time Use**: Streams cannot be reused after terminal operation
• **On-Demand Processing**: Elements processed only when needed
• **Parallel Capability**: Can be sequential or parallel (.parallel())","**Performance Benefits:** Lazy evaluation enables optimization - the stream API can eliminate unnecessary operations, combine operations, and short-circuit when possible. **Pipeline Design:** Design streams with filtering operations early to reduce elements processed by downstream operations. **Memory Efficiency:** Streams process elements on-demand without storing intermediate collections. **Debugging Tip:** Use peek() intermediate operation to inspect elements flowing through the pipeline without affecting the stream."

TiFk8k0W6Om7eSYTGqwV,2,Streams & Lambda,"What are the performance implications of parallel streams and when should you avoid them?","**Parallel Streams: Performance Analysis and Guidelines:**

**How Parallel Streams Work:**
• **ForkJoinPool**: Uses common ForkJoinPool for parallel execution
• **Work Stealing**: Idle threads steal work from busy threads' queues
• **Splitting Strategy**: Splits stream into chunks processed by different threads
• **Default Pool Size**: Runtime.getRuntime().availableProcessors() - 1
• **Merging Results**: Combines partial results from different threads

**When to Use Parallel Streams:**

**✅ Good Candidates:**
• **Large Datasets**: Generally >10,000 elements (but test your specific use case)
• **CPU-Intensive Operations**: Mathematical computations, complex transformations
• **Independent Elements**: No shared mutable state between operations
• **Splittable Data Sources**: ArrayList, arrays, ranges (good splitting characteristics)
• **Associative Operations**: Operations where order doesn't matter

```java
// Good parallel stream usage
List<Integer> numbers = IntStream.range(1, 1_000_000).boxed().collect(toList());
double result = numbers.parallelStream()
    .mapToDouble(n -> Math.sqrt(n * n * n))  // CPU-intensive
    .filter(d -> d > 1000)
    .average()
    .orElse(0.0);
```

**❌ Avoid Parallel Streams For:**

**1. Small Datasets (<1,000-10,000 elements):**
• Overhead of thread coordination exceeds benefits
• Context switching costs more than sequential processing

**2. I/O Operations:**
```java
// Bad - parallel I/O can overwhelm resources
files.parallelStream()
    .map(file -> readFileContent(file))  // I/O bound - avoid parallel
    .collect(toList());
```

**3. Stateful Operations:**
• sorted(), distinct(), limit() - require coordination between threads
• Can cause significant overhead and reduced parallelization benefits

**4. Operations with Side Effects:**
```java
// Bad - race conditions with shared mutable state
List<String> results = new ArrayList<>();  // Not thread-safe
stream.parallel().forEach(item -> results.add(process(item))); // Dangerous!
```

**Custom Thread Pool Usage:**
```java
ForkJoinPool customThreadPool = new ForkJoinPool(4);
try {
    List<String> result = customThreadPool.submit(() ->
        data.parallelStream()
            .map(this::processData)
            .collect(Collectors.toList())
    ).get();
} finally {
    customThreadPool.shutdown();
}
```","**Performance Testing Essential:** Always benchmark parallel vs sequential for your specific use case - parallel streams aren't always faster. **Rule of Thumb:** Consider parallel streams when: N (elements) × Q (cost per element) is high, where Q should be >10,000 operations. **Data Source Matters:** ArrayList and arrays split well; LinkedList and Stream.iterate() split poorly. **Side Effects Warning:** Use collect() instead of forEach() with external collections to avoid race conditions. **Memory Considerations:** Parallel streams may use more memory due to additional thread overhead and intermediate storage."

NEW_ID_001,3,Streams & Lambda,"What are effectively final variables and why are they required in lambda expressions?","**Effectively Final Variables in Lambda Expressions:**

**Definition and Concept:**
Effectively final variables are local variables that are not explicitly declared as final but are never modified after their initial assignment. Java requires lambda expressions to only capture effectively final or explicitly final variables from their enclosing scope.

**Why This Restriction Exists:**

**1. Thread Safety and Concurrency:**
```java
// Problem without effectively final restriction
int counter = 0;  // Not effectively final
List<String> items = Arrays.asList(""a"", ""b"", ""c"");

// This would be dangerous if allowed
items.stream().forEach(item -> {
    counter++;  // Would cause race conditions in parallel streams
    System.out.println(item + "": "" + counter);
});
```

**2. Variable Capture Semantics:**
• **Local Variables**: Stored on the stack, have limited lifetime
• **Lambda Lifetime**: May outlive the method where they're created
• **Value Capture**: Lambda captures variable values, not references
• **Consistency**: Ensures lambda behavior is predictable and deterministic

**Valid Effectively Final Usage:**
```java
// ✅ Effectively final - never modified after initialization
String prefix = ""Item: "";
int multiplier = 10;
List<String> processed = items.stream()
    .map(item -> prefix + item)                    // OK - prefix is effectively final
    .map(item -> item + "" x "" + multiplier)      // OK - multiplier is effectively final
    .collect(Collectors.toList());

// ✅ Explicitly final
final String suffix = "" (processed)"";
items.forEach(item -> System.out.println(item + suffix));
```

**Invalid Usage Examples:**
```java
// ❌ Not effectively final - modified after initialization
int total = 0;
items.forEach(item -> {
    total += item.length();  // Compilation error!
});

// ❌ Modified in loop
for (int i = 0; i < items.size(); i++) {
    items.forEach(item -> System.out.println(i + "": "" + item)); // Error - i is modified
}
```

**Workarounds for Mutable State:**

**1. Use Atomic Variables:**
```java
AtomicInteger counter = new AtomicInteger(0);
items.forEach(item -> {
    System.out.println(counter.incrementAndGet() + "": "" + item);
});
```

**2. Use Collectors for Aggregation:**
```java
// Instead of external counter, use stream operations
int totalLength = items.stream()
    .mapToInt(String::length)
    .sum();
```

**3. Use Mutable Objects (with caution):**
```java
List<String> results = new ArrayList<>();  // Mutable container
items.forEach(item -> results.add(item.toUpperCase())); // OK - container reference is final
```","**Memory Management:** Lambda variable capture creates copies of primitive values and references to objects - the original variables on the stack are not accessed. **Best Practice:** Design lambda expressions to be pure functions without side effects when possible. **Alternative Approaches:** Use stream reduction operations (reduce(), collect()) instead of external mutable variables for aggregations. **Debugging Note:** If you need to modify variables, consider if the operation can be redesigned using functional programming principles like map-reduce patterns."

NEW_ID_002,4,Streams & Lambda,"How do method references work and what are the four types with examples?","**Method References: Concise Lambda Alternatives:**

**Overview and Purpose:**
Method references provide a shorthand syntax for lambda expressions that only call a single existing method. They improve code readability and encourage reuse of existing methods. The compiler automatically converts method references to appropriate lambda expressions.

**The Four Types of Method References:**

**1. Static Method References (ClassName::staticMethod):**
```java
// Lambda equivalent: x -> Math.abs(x)
List<Integer> numbers = Arrays.asList(-1, -2, 3, -4);
List<Integer> absolute = numbers.stream()
    .map(Math::abs)                    // Static method reference
    .collect(Collectors.toList());

// More examples:
Stream.of(""1"", ""2"", ""3"")
    .map(Integer::parseInt)            // Integer.parseInt(String)
    .forEach(System.out::println);     // System.out.println(Object)
```

**2. Instance Method of Particular Object (instance::instanceMethod):**
```java
String prefix = ""Hello, "";
List<String> names = Arrays.asList(""Alice"", ""Bob"", ""Charlie"");

// Lambda equivalent: name -> prefix.concat(name)
List<String> greetings = names.stream()
    .map(prefix::concat)               // Instance method of specific object
    .collect(Collectors.toList());

// Using StringBuilder instance
StringBuilder sb = new StringBuilder();
Stream.of(""a"", ""b"", ""c"")
    .forEach(sb::append);              // sb.append(String)
```

**3. Instance Method of Arbitrary Object of Particular Type (ClassName::instanceMethod):**
```java
List<String> words = Arrays.asList(""apple"", ""banana"", ""cherry"");

// Lambda equivalent: str -> str.length()
List<Integer> lengths = words.stream()
    .map(String::length)               // Instance method of arbitrary String
    .collect(Collectors.toList());

// Lambda equivalent: str -> str.toUpperCase()
List<String> uppercase = words.stream()
    .map(String::toUpperCase)          // Instance method of arbitrary String
    .collect(Collectors.toList());

// Sorting example - lambda equivalent: (a, b) -> a.compareToIgnoreCase(b)
words.sort(String::compareToIgnoreCase);
```

**4. Constructor References (ClassName::new):**
```java
// Lambda equivalent: () -> new ArrayList<>()
Supplier<List<String>> listFactory = ArrayList::new;
List<String> newList = listFactory.get();

// Lambda equivalent: size -> new ArrayList<>(size)
Function<Integer, List<String>> listCreator = ArrayList::new;
List<String> sizedList = listCreator.apply(10);

// Converting stream to different collection types
List<String> words = Arrays.asList(""a"", ""b"", ""c"");
Set<String> wordSet = words.stream()
    .collect(Collectors.toCollection(HashSet::new));

// Array constructor reference
String[] array = words.stream()
    .toArray(String[]::new);           // Generator function for array creation
```

**Advanced Constructor Reference Examples:**
```java
// Creating objects from stream elements
List<String> names = Arrays.asList(""Alice"", ""Bob"");
List<Person> people = names.stream()
    .map(Person::new)                  // Assumes Person(String name) constructor
    .collect(Collectors.toList());

// Two-argument constructor
Map<String, Integer> nameAges = Map.of(""Alice"", 25, ""Bob"", 30);
List<Person> peopleWithAge = nameAges.entrySet().stream()
    .map(entry -> new Person(entry.getKey(), entry.getValue())) // Lambda required for multiple args
    .collect(Collectors.toList());
```

**When Method References Cannot Be Used:**
```java
// Multiple statements - must use lambda
list.stream().map(s -> {
    String trimmed = s.trim();
    return trimmed.toUpperCase();
});

// Additional parameters - must use lambda
list.stream().map(s -> s.substring(1, 5));

// Complex expressions - must use lambda
list.stream().filter(s -> s.length() > 3 && s.startsWith(""A""));
```","**Readability Trade-offs:** Method references are more concise but lambdas may be clearer for complex operations or when additional parameters are needed. **Performance:** Method references and equivalent lambdas have identical performance - the compiler generates the same bytecode. **Refactoring Benefits:** Method references encourage extracting logic into named methods, improving code organization and testability. **IDE Support:** Modern IDEs can automatically convert between lambdas and method references, suggesting the most appropriate form for each situation."

NEW_ID_003,5,Streams & Lambda,"What is the difference between flatMap() and map() and when would you use each?","**map() vs flatMap(): Transformation Strategies:**

**map() - One-to-One Transformation:**
```java
// Signature: <R> Stream<R> map(Function<? super T, ? extends R> mapper)
```
• **Purpose**: Transform each element to exactly one new element
• **Result**: Same number of elements in output as input
• **Use Case**: Simple transformations, type conversions, property extraction

```java
List<String> words = Arrays.asList(""hello"", ""world"", ""java"");

// Transform each string to its length
List<Integer> lengths = words.stream()
    .map(String::length)               // String -> Integer (1:1)
    .collect(Collectors.toList());     // [5, 5, 4]

// Transform each string to uppercase
List<String> uppercase = words.stream()
    .map(String::toUpperCase)          // String -> String (1:1)
    .collect(Collectors.toList());     // [""HELLO"", ""WORLD"", ""JAVA""]
```

**flatMap() - One-to-Many Transformation with Flattening:**
```java
// Signature: <R> Stream<R> flatMap(Function<? super T, ? extends Stream<? extends R>> mapper)
```
• **Purpose**: Transform each element to zero or more elements, then flatten the result
• **Result**: Can have different number of elements than input
• **Use Case**: Working with nested collections, Optional unwrapping, splitting operations

```java
List<String> sentences = Arrays.asList(
    ""Hello world"", 
    ""Java streams"", 
    ""Functional programming""
);

// Split each sentence into words and flatten
List<String> allWords = sentences.stream()
    .flatMap(sentence -> Arrays.stream(sentence.split("" ""))) // String -> Stream<String>
    .collect(Collectors.toList());
// Result: [""Hello"", ""world"", ""Java"", ""streams"", ""Functional"", ""programming""]
```

**Nested Collections Example:**
```java
List<List<Integer>> nestedNumbers = Arrays.asList(
    Arrays.asList(1, 2, 3),
    Arrays.asList(4, 5),
    Arrays.asList(6, 7, 8, 9)
);

// ❌ map() creates Stream<Stream<Integer>> - not what we want
Stream<Stream<Integer>> streamOfStreams = nestedNumbers.stream()
    .map(List::stream);

// ✅ flatMap() flattens to Stream<Integer>
List<Integer> flatNumbers = nestedNumbers.stream()
    .flatMap(List::stream)             // List<Integer> -> Stream<Integer>
    .collect(Collectors.toList());     // [1, 2, 3, 4, 5, 6, 7, 8, 9]
```

**Working with Optional:**
```java
List<String> possibleNumbers = Arrays.asList(""1"", ""abc"", ""3"", ""xyz"", ""5"");

// Parse strings to integers, filtering out invalid ones
List<Integer> validNumbers = possibleNumbers.stream()
    .flatMap(s -> {
        try {
            return Stream.of(Integer.parseInt(s));  // Valid number
        } catch (NumberFormatException e) {
            return Stream.empty();                  // Invalid - empty stream
        }
    })
    .collect(Collectors.toList());     // [1, 3, 5]

// Alternative with Optional
List<Integer> validNumbers2 = possibleNumbers.stream()
    .map(s -> {
        try {
            return Optional.of(Integer.parseInt(s));
        } catch (NumberFormatException e) {
            return Optional.<Integer>empty();
        }
    })
    .flatMap(Optional::stream)         // Optional<Integer> -> Stream<Integer>
    .collect(Collectors.toList());
```

**Complex Real-World Example:**
```java
class Department {
    private String name;
    private List<Employee> employees;
    // getters...
}

class Employee {
    private String name;
    private List<String> skills;
    // getters...
}

List<Department> departments = // ... initialize

// Get all unique skills across all employees in all departments
Set<String> allSkills = departments.stream()
    .flatMap(dept -> dept.getEmployees().stream())        // Department -> Stream<Employee>
    .flatMap(emp -> emp.getSkills().stream())             // Employee -> Stream<String>
    .collect(Collectors.toSet());

// Compare with map() - this would be Stream<Stream<Stream<String>>>
Stream<Stream<Stream<String>>> complexity = departments.stream()
    .map(dept -> dept.getEmployees().stream()
        .map(emp -> emp.getSkills().stream()));           // Too nested!
```

**Performance Considerations:**
```java
// flatMap() can be more expensive due to stream creation and flattening
List<String> longSentences = // ... large list

// If you only need the count, avoid creating intermediate collections
long wordCount = longSentences.stream()
    .flatMap(sentence -> Arrays.stream(sentence.split("" "")))
    .count();  // More efficient than collecting then counting
```","**Selection Rule:** Use **map()** for 1:1 transformations (changing type or value). Use **flatMap()** when your transformation produces a collection/stream/optional that needs flattening. **Memory Efficiency:** flatMap() processes elements lazily - it doesn't create intermediate collections unless terminal operation requires it. **Debugging Tip:** If you find yourself with Stream<Stream<T>> or Stream<Optional<T>>, you likely need flatMap() instead of map(). **Common Pattern:** flatMap() is essential when working with APIs that return Optional or collections, allowing you to ""unwrap"" and flatten results in a single operation."

